,train_loss,val_loss
0,0.24665214,tensor(0.2168)
1,0.21811847,tensor(0.2136)
2,0.21604854,tensor(0.2115)
3,0.20798045,tensor(0.1995)
4,0.19747776,tensor(0.1915)
5,0.19373752,tensor(0.1893)
6,0.19164585,tensor(0.1877)
7,0.19021107,tensor(0.1865)
8,0.1868013,tensor(0.1782)
9,0.18067801,tensor(0.1742)
10,0.17075707,tensor(0.1662)
11,0.16755867,tensor(0.1580)
12,0.16021174,tensor(0.1570)
13,0.15918636,tensor(0.1565)
14,0.15858516,tensor(0.1562)
15,0.15804447,tensor(0.1555)
16,0.15741621,tensor(0.1548)
17,0.15684943,tensor(0.1545)
18,0.15647277,tensor(0.1542)
19,0.15616503,tensor(0.1541)
