,train_loss,val_loss
0,0.24390249,tensor(0.2107)
1,0.20950623,tensor(0.2051)
2,0.20726615,tensor(0.2037)
3,0.20577814,tensor(0.2021)
4,0.20391664,tensor(0.2003)
5,0.20152569,tensor(0.1944)
6,0.19369559,tensor(0.1902)
7,0.19187497,tensor(0.1895)
8,0.19112144,tensor(0.1890)
9,0.19049042,tensor(0.1886)
10,0.18986858,tensor(0.1881)
11,0.18923894,tensor(0.1875)
12,0.18849796,tensor(0.1868)
13,0.18765788,tensor(0.1861)
14,0.18684937,tensor(0.1853)
15,0.18613966,tensor(0.1848)
16,0.185504,tensor(0.1845)
17,0.1815648,tensor(0.1772)
18,0.17740916,tensor(0.1758)
19,0.17625725,tensor(0.1693)
